,District Name,Expulsions (District),Suspensions (District),Suspensions (In School) (District),Suspensions (Out of School) (District),All Charter Schools (Y/N) (District),CDS Number (District),City (District),District Type (District),County Name (District),Zip (District),Grade Span (District),Per Pupil Ratio: Teacher (District),1st Year Teachers (District),Avg Years Teaching (District),2nd Year Teachers (District),Salary Change (District),TchrBnft-Max Annual-Cafe Plan $ Pd (District),TchrBnft-Max Annual-2Party Plan $ Pd (District),TchrBnft-Max Annual-Family Pln $ Pd (District),TchrBnft-Max Annual-Single Plan $ Pd (District),Teacher Highest Salary Offered (District),Teacher BA60 Step-10 Offered (District),Teacher Lowest Salary Offered (District),Teacher Salary-Avg (District),Teacher Service Days (District),Teachers-# (District),Teachers-FTE (District),Teaching Days (District),Students w/Disabilities (CAASPP-Math Levels 3 and 4) (District),Students w/Disabilities (CAASPP-ELA Levels 3 and 4) (District),Migrant Students (CAASPP-Math Levels 3 and 4) (District),Migrant Students (CAASPP-ELA Levels 3 and 4) (District),English Learners (CAASPP-Math Levels 3 and 4) (District),English Learners (CAASPP-ELA Levels 3 and 4) (District),Disadvantaged Students (CAASPP-Math Levels 3 and 4) (District),Disadvantaged Students (CAASPP-ELA Levels 3 and 4) (District),Gen Fund Exp by Object Code - 1000-1999 Certificated Salaries Per Student (District),Gen Fund Exp by Object Code - 2000-2999 Classified Salaries Per Student (District),Gen Fund Exp by Object Code - 3000-3999 Employee Benefits Per Student (District),Gen Fund Exp by Object Code - 4000-4999 Books & Supplies Per Student (District),Gen Fund Exp by Object Code - 5000-5999 Services & Other Op Exp Per Student (District),Gen Fund Rev by Object Code - 8010-8099 Rev Limit Sources/LCFF Per Student (District),Gen Fund Rev by Object Code - 8100-8299 Federal Revenue Per Student (District),Gen Fund Rev by Object Code - 8300-8599 Other State Revenue Per Student (District),Gen Fund Rev by Object Code - 8600-8799 Other Local Revenue Per Student (District),Current Exp of Educ per ADA (Ed Code 41372) (District),Total Gen Fund Expenditures (District),Gen Fund Exp by Activity - 4000-4999 Ancillary Services Exp % (District),Gen Fund Exp by Activity - 3000-3999 Pupil Services Exp % (District),Gen Fund Exp by Activity - 2000-2999 Instruc-related Svcs Per Student # (District),Gen Fund Exp by Activity - 4000-4999 Ancillary Services Per Student # (District),Gen Fund Exp by Activity - 5000-5999 Community Services Per Student # (District),Gen Fund Exp by Activity - 6000-6999 Enterprise Exp % (District),Total Gen Fund Expenditures Per Student (District),Total Gen Fund Revenues Per Student (District),Total Gen Fund Revenues (District),Gen Fund Exp by Activity - 2000-2999 Instruc-related Svcs Exp % (District),Gen Fund Exp by Activity - 3000-3999 Pupil Services Per Student # (District),Gen Fund Exp by Activity - 1000-1999 Instruction Per Student # (District),Gen Fund Exp by Activity - 6000-6999 Enterprise Per Student # (District),Gen Fund Exp by Activity - 5000-5999 Community Services Exp % (District),Gen Fund Exp by Activity - 7000-7999 General Administration Exp % (District),Gen Fund Exp by Activity - 1000-1999 Instruction Exp % (District),Gen Fund Exp by Activity - 7000-7999 General Administration Per Student # (District),Gen Fund Exp by Activity - 8000-8999 Plant Services Exp % (District),Gen Fund Exp by Activity - 8000-8999 Plant Services Per Student # (District),Average Daily Attendance (ADA) (District),English Learners # (District),English Learners % (District),Enrollment (District),Ethnic Diversity Index (District),American Indian or Alaska Native # (District),Asian # (District),Black or African American # (District),Filipino # (District),Hispanic or Latino # (District),Native Hawaiian or Pac Islander # (District),Two or More Races # (District),None Reported # (District),White # (District),American Indian or Alaska Native % (District),Asian % (District),Black or African American % (District),Filipino % (District),Hispanic or Latino % (District),Native Hawaiian or Pac Islander % (District),Two or More Races % (District),None Reported % (District),White % (District),Fluent English Proficient (FEP) # (District),Fluent English Proficient (FEP) % (District),Foster Youth # (District),Free/Reduced Meals # (District),Free/Reduced Meals % (District),FRPM/EL/Foster Undupl # (District),FRPM/EL/Foster Undupl % (District),Homeless # (District),Migrant # (District),Redesignated FEP (RFEP) # (District),Redesignated FEP (RFEP) % (District),Special Education # (District),Cohort Graduates % (District),Grads Mtg UC/CSU # (District),Black or African American # (UC/CSU) (District),American Indian or Alaska Native # (UC/CSU) (District),Asian # (UC/CSU) (District),Filipino # (UC/CSU) (District),Hispanic or Latino # (UC/CSU) (District),Native Hawaiian or Pacific Islander # (UC/CSU) (District),White # (UC/CSU) (District),Two or More Races # (UC/CSU) (District),None Reported # (UC/CSU) (District),ACT Avg Results-English # (District),ACT Avg Results-Math # (District),ACT Avg Results-Reading # (District),ACT Avg Results-Science # (District),ACT Test Takers # (District),American Indian or Alaska Native # (Cohort Grads) (District),Asian # (Cohort Grads) (District),Native Hawaiian or Pac Islander # (Cohort Grads) (District),Filipino # (Cohort Grads) (District),Hispanic or Latino # (Cohort Grads) (District),Black or African American # (Cohort Grads) (District),White # (Cohort Grads) (District),Two or More Races # (Cohort Grads) (District),None Reported # (Cohort Grads) (District),Advanced Placement (AP) Test Taking # (District),AP Score-1 (District),AP Score-2 (District),AP Score-3 (District),AP Score-4 (District),AP Score-5 (District),Cohort Dropouts # (District),Cohort Dropouts % (District),American Indian or Alaska Native # (Cohort Dropouts) (District),Asian # (Cohort Dropouts) (District),Native Hawaiian or Pac Islander # (Cohort Dropouts) (District),Filipino # (Cohort Dropouts) (District),Hispanic or Latino # (Cohort Dropouts) (District),Black or African American # (Cohort Dropouts) (District),White # (Cohort Dropouts) (District),Two or More Races # (Cohort Dropouts) (District),None Reported # (Cohort Dropouts) (District),SAT Test Takers # (District),Cohort Graduates # (District),Grads Mtg UC/CSU % (District),SAT Avg Results-Mathematics # (District),SAT Avg Results-Reading # (District),SAT Avg Results-Writing # (District),CAASPP-Math Standard Exceeded (Level 4) (District),CAASPP-Math Standard Met (Level 3) (District),CAASPP-Math Standard Nearly Met (Level 2) (District),CAASPP-Math Standard Not Met (Level 1) (District),CAASPP-Math Standard Exceeded or Met (Levels 3 and 4) (District),American Indian or Alaska Native (CAASPP-Math Levels 3 and 4) (District),Asian (CAASPP-Math Levels 3 and 4) (District),Black or African American (CAASPP-Math Levels 3 and 4) (District),Filipino (CAASPP-Math Levels 3 and 4) (District),Hispanic or Latino (CAASPP-Math Levels 3 and 4) (District),Native Hawaiian or Pac Islandr (CAASPP-Math Levels 3 and 4) (District),Two or More Races (CAASPP-Math Levels 3 and 4) (District),White (CAASPP-Math Levels 3 and 4) (District),Males (CAASPP-Math Levels 3 and 4) (District),Females (CAASPP-Math Levels 3 and 4) (District),CAASPP-ELA Standard Exceeded or Met (Levels 3 and 4) (District),CAASPP-ELA Standard Exceeded (Level 4) (District),CAASPP-ELA Standard Met (Level 3) (District),CAASPP-ELA Standard Nearly Met (Level 2) (District),CAASPP-ELA Standard Not Met (Level 1) (District),American Indian or Alaska Native (CAASPP-ELA Levels 3 and 4) (District),Asian (CAASPP-ELA Levels 3 and 4) (District),Black or African American (CAASPP-ELA Levels 3 and 4) (District),Filipino (CAASPP-ELA Levels 3 and 4) (District),Hispanic or Latino (CAASPP-ELA Levels 3 and 4) (District),Native Hawaiian or Pac Islandr (CAASPP-ELA Levels 3 and 4) (District),Two or More Races (CAASPP-ELA Levels 3 and 4) (District),White (CAASPP-ELA Levels 3 and 4) (District),Males (CAASPP-ELA Levels 3 and 4) (District),Females (CAASPP-ELA Levels 3 and 4) (District),Year
0,ABC Unified (Los Angeles),,,,,No,19-64212-0000000,Cerritos,Unified School District,Los Angeles,90703,,24.5,7.0,15.0,17.0,0.0,0.0,11915.0,16136.0,6831.0,90000.0,66055.0,45000.0,71807.0,180.0,891.0,843.3,176.0,,,,,,,,,4095.0,1434.0,1668.0,344.0,645,5295.0,1005.0,1771,222.0,8054.0,166957287.0,0,7,1018.0,0.0,0,0,8367.0,8293.0,165473151.0,12,558.0,5229.0,0,0,6,62,476.0,11,913.0,19953,4038,19.5,20682,58,52.0,5552.0,2018.0,2115.0,8703.0,164.0,422.0,42.0,1614.0,0.3,26.8,9.8,10.2,42.1,0.8,2.0,0.2,7.8,5126,24.8,,9911,47.9,,,,,550,12.3,,91.4,704,46,redacted,399,101,113,redacted,33,redacted,redacted,,,,,0,redacted,572,16,196,525,154,126,19,,0,0,0,0,0,0,68,3.9,redacted,redacted,redacted,redacted,44,redacted,redacted,redacted,,0,1612,41.8,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2010-2011
1,Acalanes Union High (Contra Costa),,,,,No,07-61630-0000000,Lafayette,High School District,Contra Costa,94549,,21.3,2.0,12.0,6.0,0.0,0.0,15385.0,19481.0,8557.0,87387.0,68262.0,38925.0,76437.0,181.0,291.0,261.9,178.0,,,,,,,,,4818.0,1443.0,2057.0,318.0,1151,6143.0,371.0,860,3284.0,9393.0,52169873.0,2,10,1120.0,180.0,22,0,9772.0,10658.0,56900914.0,11,964.0,5612.0,2,0,7,57,691.0,12,1147.0,5339,99,1.8,5589,33,6.0,690.0,83.0,100.0,442.0,13.0,325.0,29.0,3901.0,0.1,12.3,1.5,1.8,7.9,0.2,5.8,0.5,69.8,573,10.3,,177,3.2,,,,,8,8.6,,96.7,998,redacted,redacted,146,15,58,redacted,711,49,redacted,,,,,0,redacted,179,redacted,29,112,19,937,71,redacted,0,0,0,0,0,0,19,1.4,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,0,1360,73.2,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2010-2011
2,Ackerman Charter (Placer),,,,,No,31-66761-0000000,Auburn,Elementary School District,Placer,95603,,20.1,1.0,9.0,0.0,0.0,0.0,7474.0,7474.0,7474.0,69919.0,54308.0,40588.0,56423.0,182.0,28.0,25.8,180.0,,,,,,,,,3741.0,859.0,1109.0,260.0,667,5197.0,499.0,943,459.0,6581.0,3327169.0,0,8,500.0,17.0,2,0,6658.0,7098.0,3546982.0,8,501.0,4449.0,0,0,7,67,466.0,11,723.0,500,8,1.5,518,21,3.0,7.0,5.0,5.0,66.0,0.0,14.0,1.0,417.0,0.6,1.4,1.0,1.0,12.7,0.0,2.7,0.2,80.5,8,1.5,,164,31.7,,,,,0,0,,,,,,,,,,,,,,,,,0,,,,,,,,,,0,0,0,0,0,0,,,,,,,,,,,,0,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2010-2011
3,Acton-Agua Dulce Unified (Los Angeles),,,,,No,19-75309-0000000,Acton,Unified School District,Los Angeles,93510,,23.9,2.0,11.0,1.0,0.0,0.0,0.0,0.0,0.0,81116.0,70016.0,43844.0,67083.0,181.0,73.0,71.0,180.0,,,,,,,,,4249.0,1306.0,1115.0,431.0,804,5806.0,846.0,1140,569.0,7795.0,12733096.0,1,11,715.0,77.0,0,0,8073.0,8361.0,13187588.0,9,909.0,4778.0,0,0,9,59,687.0,9,748.0,1577,Not Certified,Not Certified,1696,34,17.0,15.0,14.0,9.0,492.0,2.0,35.0,45.0,1067.0,1.0,0.9,0.8,0.5,29.0,0.1,2.1,2.7,62.9,0,0,,514,30.3,,,,,0,0,,90.0,138,redacted,redacted,redacted,redacted,29,redacted,92,redacted,redacted,,,,,0,redacted,redacted,,redacted,27,redacted,95,redacted,redacted,0,0,0,0,0,0,13,8.7,redacted,redacted,,redacted,redacted,redacted,redacted,redacted,redacted,0,135,99.3,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2010-2011
4,Adelanto Elementary (San Bernardino),,,,,No,36-67587-0000000,Adelanto,Elementary School District,San Bernardino,92301,,26.8,6.0,8.0,2.0,-1.0,0.0,0.0,0.0,0.0,89102.0,59642.0,37559.0,60350.0,180.0,324.0,321.3,175.0,,,,,,,,,3092.0,1117.0,1296.0,265.0,719,5092.0,496.0,907,215.0,6349.0,50856395.0,0,8,673.0,0.0,6,0,6504.0,6710.0,52473388.0,10,498.0,4101.0,0,0,8,63,497.0,11,717.0,7820,1702,19.7,8618,41,47.0,123.0,1912.0,59.0,5214.0,51.0,224.0,57.0,931.0,0.5,1.4,22.2,0.7,60.5,0.6,2.6,0.7,10.8,1255,14.6,,7180,83.3,,,,,237,12.5,,,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,,,,,0,,,,,,,,,,0,0,0,0,0,0,,,,,,,,,,,,0,,redacted,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2010-2011
5,Alameda County Office of Education (Alameda),,,,,No,01-10017-0000000,Hayward,County Office of Education (COE),Alameda,94544,,18.7,28.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0,99919.0,77098.0,53215.0,86031.0,185.0,165.0,160.7,182.0,,,,,,,,,,,,,,,,,,,47812678.0,8,2,,,,0,0.0,,50228648.0,35,,,,3,24,13,,3,,,728,24.3,3001,62,23.0,317.0,709.0,31.0,962.0,59.0,26.0,57.0,817.0,0.8,10.6,23.6,1.0,32.1,2.0,0.9,1.9,27.2,322,10.7,,1890,63,,,,,103,22.9,,78.0,55,29,redacted,redacted,redacted,14,redacted,redacted,redacted,redacted,,,,,0,55,3125,206,784,3212,1758,3779,254,80,0,0,0,0,0,0,2567,15.1,24,212,52,75,993,797,314,34,66,0,13253,30.7,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2010-2011
6,Alameda Unified (Alameda),,,,,No,01-61119-0000000,Alameda,Unified School District,Alameda,94501,,22.6,10.0,11.0,20.0,-4.3,0.0,6886.0,8007.0,5413.0,76429.0,57678.0,40081.0,62420.0,177.0,540.0,465.3,175.0,,,,,,,,,4351.0,1327.0,1230.0,295.0,1406,5315.0,737.0,1469,1868.0,8504.0,78326003.0,1,5,1189.0,120.0,7,0,8803.0,9390.0,83546009.0,14,420.0,5425.0,0,0,7,62,594.0,9,818.0,8898,2347,22.4,10494,65,44.0,3326.0,1254.0,875.0,1391.0,132.0,257.0,22.0,3193.0,0.4,31.7,11.9,8.3,13.3,1.3,2.4,0.2,30.4,1704,16.2,,3414,32.5,,,,,203,8.7,,84.4,359,25,redacted,160,26,26,redacted,113,redacted,redacted,,,,,0,redacted,301,redacted,65,71,83,183,redacted,redacted,0,0,0,0,0,0,74,8.7,redacted,14,redacted,redacted,14,19,15,redacted,redacted,0,718,45.3,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2010-2011
7,Albany City Unified (Alameda),,,,,No,01-61127-0000000,Albany,Unified School District,Alameda,94706,,21.6,8.0,11.0,2.0,0.0,0.0,17683.0,23020.0,9070.0,83985.0,62305.0,42779.0,65760.0,184.0,196.0,179.9,180.0,,,,,,,,,4649.0,1087.0,2052.0,386.0,823,5285.0,2058.0,4657,1891.0,8758.0,49812150.0,1,3,968.0,96.0,0,0,13397.0,13891.0,51648682.0,7,345.0,6079.0,0,0,6,45,766.0,5,708.0,3718,Not Certified,Not Certified,3879,53,31.0,1327.0,260.0,85.0,467.0,18.0,34.0,36.0,1621.0,0.8,34.2,6.7,2.2,12.0,0.5,0.9,0.9,41.8,0,0,,725,18.7,,,,,121,16.8,,89.1,78,redacted,redacted,26,redacted,redacted,redacted,43,redacted,redacted,,,,,0,redacted,84,redacted,redacted,44,24,117,,,0,0,0,0,0,0,26,8.3,redacted,redacted,redacted,redacted,redacted,redacted,redacted,,,0,279,28.6,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2010-2011
8,Alexander Valley Union Elementary (Sonoma),,,,,No,49-70599-0000000,Healdsburg,Elementary School District,Sonoma,95448,,19.0,0.0,9.0,0.0,0.0,0.0,8100.0,9840.0,3828.0,77921.0,58258.0,44740.0,60387.0,186.0,13.0,7.0,180.0,,,,,,,,,5219.0,1908.0,2166.0,363.0,1910,9380.0,855.0,2507,1054.0,11376.0,1524744.0,0,6,1242.0,0.0,189,0,12253.0,13797.0,1716955.0,10,718.0,7214.0,0,2,9,59,1082.0,9,1121.0,124,28,21.1,133,28,0.0,1.0,1.0,0.0,34.0,1.0,1.0,0.0,95.0,0.0,0.8,0.8,0.0,25.6,0.8,0.8,0.0,71.4,1,0.8,,41,30.8,,,,,2,7.1,,,,,,,,,,,,,,,,,0,,,,,,,,,,0,0,0,0,0,0,,,,,,,,,,,,0,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2010-2011
9,Alhambra Unified (Los Angeles),,,,,No,19-75713-0000000,Alhambra,Unified School District,Los Angeles,91803,,24.8,24.0,14.0,33.0,0.0,0.0,13517.0,16006.0,6108.0,97262.0,66491.0,35427.0,70361.0,182.0,754.0,741.5,180.0,,,,,,,,,4033.0,1269.0,2213.0,254.0,875,5904.0,1401.0,1614,794.0,7937.0,156495833.0,1,10,1130.0,51.0,56,0,8736.0,9713.0,174009728.0,13,882.0,5089.0,0,1,6,58,518.0,10,906.0,17914,5372,29.2,18413,40,23.0,9414.0,138.0,266.0,7729.0,25.0,215.0,21.0,582.0,0.1,51.1,0.7,1.4,42.0,0.1,1.2,0.1,3.2,5995,32.6,,12728,69.1,,,,,831,15.1,,92.8,906,redacted,redacted,744,17,116,redacted,11,15,redacted,,,,,0,redacted,1111,redacted,21,592,redacted,33,26,,0,0,0,0,0,0,82,4.2,redacted,36,redacted,redacted,36,redacted,redacted,redacted,,0,1795,48.4,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2010-2011
10,Alisal Union (Monterey),,,,,No,27-65961-0000000,Salinas,Elementary School District,Monterey,93905,,27.6,20.0,12.0,13.0,0.0,0.0,15433.0,19342.0,9275.0,84569.0,61371.0,37743.0,66976.0,183.0,293.0,293.0,180.0,,,,,,,,,3576.0,1168.0,1846.0,659.0,691,5066.0,1145.0,1225,499.0,7828.0,62710092.0,0,7,846.0,0.0,0,0,8294.0,7935.0,59998169.0,10,540.0,5415.0,0,0,5,65,427.0,8,694.0,7561,5500,68,8087,7,14.0,35.0,45.0,125.0,7584.0,17.0,37.0,7.0,223.0,0.2,0.4,0.6,1.5,93.8,0.2,0.5,0.1,2.8,1190,14.7,,7976,98.6,,,,,495,9.5,,,,,,,,,,,,,,,,,0,,,,,,,,,,0,0,0,0,0,0,,,,,,,,,,,,0,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2010-2011
11,Allensworth Elementary (Tulare),,,,,No,54-71795-0000000,Allensworth,Elementary School District,Tulare,93219,,19.0,1.0,7.0,0.0,0.0,0.0,0.0,12800.0,0.0,57851.0,49903.0,29070.0,45102.0,185.0,4.0,4.0,180.0,,,,,,,,,4344.0,1447.0,1998.0,552.0,1528,6511.0,1545.0,2970,402.0,9657.0,740968.0,0,4,1393.0,0.0,0,0,9962.0,11428.0,850022.0,14,420.0,5030.0,0,0,16,50,1593.0,14,1404.0,74,40,52.6,76,3,0.0,0.0,1.0,0.0,74.0,1.0,0.0,0.0,0.0,0.0,0.0,1.3,0.0,97.4,1.3,0.0,0.0,0.0,11,14.5,,80,105.3,,,,,2,5.1,,,,,,,,,,,,,,,,,0,,,,,,,,,,0,0,0,0,0,0,,,,,,,,,,,,0,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2010-2011
12,Alpaugh Unified (Tulare),,,,,No,54-71803-0000000,Alpaugh,Unified School District,Tulare,93201,,15.2,5.0,4.0,3.0,0.0,0.0,0.0,11852.0,0.0,67821.0,52394.0,38521.0,47203.0,185.0,56.0,32.7,180.0,,,,,,,,,4780.0,1509.0,2308.0,389.0,1477,7138.0,1384.0,1873,410.0,10386.0,3210147.0,1,3,1153.0,99.0,0,0,10615.0,10804.0,3267492.0,11,327.0,6384.0,0,0,12,60,1317.0,12,1293.0,302,198,39.8,498,34,3.0,9.0,8.0,4.0,332.0,1.0,25.0,0.0,116.0,0.6,1.8,1.6,0.8,66.7,0.2,5.0,0.0,23.3,71,14.3,,428,85.9,,,,,61,28,,75.0,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,,,,,0,,,,,redacted,,redacted,,,0,0,0,0,0,0,redacted,16.7,,,,,redacted,,redacted,,,0,redacted,redacted,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2010-2011
13,Alpine County Office of Education (Alpine),,,,,No,02-10025-0000000,Markleeville,County Office of Education (COE),Alpine,96120,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1046583.0,4,18,,,,0,0.0,,946214.0,2,,,,6,12,8,,9,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,0,0,,50.0,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,,,,,0,redacted,,,,,,,,,0,0,0,0,0,0,redacted,50.0,redacted,,,,,,,,,0,redacted,redacted,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2010-2011
14,Alpine County Unified (Alpine),,,,,No,02-61333-0000000,Markleeville,Unified School District,Alpine,96120,,6.7,1.0,8.0,1.0,,,,,,,,,,,16.0,13.1,,,,,,,,,,12371.0,8036.0,6409.0,1675.0,5450,16354.0,8590.0,8160,2794.0,33740.0,2811026.0,0,10,5748.0,6.0,0,0,33941.0,35897.0,2973015.0,17,3553.0,13427.0,0,0,20,40,6640.0,13,4567.0,83,0,0,88,39,34.0,0.0,0.0,0.0,4.0,0.0,2.0,0.0,48.0,38.6,0.0,0.0,0.0,4.5,0.0,2.3,0.0,54.5,0,0,,48,54.5,,,,,0,0,,0.0,,,,,,,,,,,,,,,0,redacted,,,,,,,,,0,0,0,0,0,0,redacted,100.0,redacted,,,,,,,,,0,redacted,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2010-2011
15,Alpine Union Elementary (San Diego),,,,,No,37-67967-0000000,Alpine,Elementary School District,San Diego,91901,,23.4,2.0,15.0,2.0,-2.7,0.0,12885.0,17651.0,7134.0,81990.0,56893.0,36998.0,65922.0,178.0,102.0,87.7,175.0,,,,,,,,,3960.0,1310.0,1728.0,291.0,644,5092.0,748.0,1211,961.0,7896.0,15730552.0,0,8,694.0,0.0,111,0,7998.0,8012.0,15758084.0,9,616.0,5421.0,0,1,6,68,467.0,8,613.0,1967,73,3.6,2049,28,84.0,34.0,15.0,18.0,341.0,5.0,30.0,11.0,1511.0,4.1,1.7,0.7,0.9,16.6,0.2,1.5,0.5,73.7,80,3.9,,540,26.4,,,,,11,17.5,,,,,,,,,,,,,,,,,0,,,,,,,,,,0,0,0,0,0,0,,,,,,,,,,,,0,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2010-2011
16,Alta Loma Elementary (San Bernardino),,,,,No,36-67595-0000000,Alta Loma,Elementary School District,San Bernardino,91701,,26.8,16.0,14.0,7.0,0.0,0.0,13247.0,13247.0,13247.0,83532.0,64825.0,36114.0,70592.0,185.0,245.0,238.2,180.0,,,,,,,,,3499.0,1144.0,1694.0,271.0,583,5063.0,432.0,1025,562.0,6957.0,44636397.0,0,5,676.0,0.0,224,0,7221.0,7081.0,43772745.0,9,361.0,4840.0,0,3,5,67,388.0,10,692.0,6182,369,5.8,6394,49,37.0,336.0,554.0,99.0,2361.0,56.0,24.0,3.0,2924.0,0.6,5.3,8.7,1.5,36.9,0.9,0.4,0.0,45.7,473,7.4,,1855,29,,,,,78,22.7,,,,,,,,,,,,,,,,,0,,,,,,,,,,0,0,0,0,0,0,,,,,,,,,,,,0,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2010-2011
17,Alta Vista Elementary (Tulare),,,,,No,54-71811-0000000,Porterville,Elementary School District,Tulare,93257,,21.1,0.0,11.0,0.0,0.0,0.0,0.0,13370.0,0.0,71791.0,57753.0,39239.0,58901.0,184.0,25.0,24.8,180.0,,,,,,,,,3459.0,1429.0,2061.0,373.0,1088,5033.0,1676.0,1634,502.0,7979.0,4261618.0,0,2,988.0,32.0,243,0,8553.0,8844.0,4406418.0,12,173.0,5499.0,0,3,9,64,746.0,10,844.0,498,309,59,524,28,1.0,9.0,3.0,0.0,384.0,20.0,5.0,0.0,102.0,0.2,1.7,0.6,0.0,73.3,3.8,1.0,0.0,19.5,20,3.8,,466,88.9,,,,,15,5.1,,,,,,,,,,,,,,,,,0,,,,,,,,,,0,0,0,0,0,0,,,,,,,,,,,,0,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2010-2011
18,Alta-Dutch Flat Union Elementary (Placer),,,,,No,31-66779-0000000,Alta,Elementary School District,Placer,95701,,18.8,1.0,9.0,0.0,,,,,,,,,,,7.0,6.0,,,,,,,,,,3903.0,2225.0,1248.0,264.0,1645,6929.0,1074.0,1662,939.0,9156.0,995676.0,0,0,1292.0,0.0,0,0,9612.0,10603.0,1098414.0,13,36.0,5419.0,0,0,13,56,1245.0,17,1603.0,104,1,0.9,113,20,0.0,1.0,0.0,0.0,15.0,0.0,5.0,0.0,92.0,0.0,0.9,0.0,0.0,13.3,0.0,4.4,0.0,81.4,4,3.5,,56,49.6,,,,,0,0,,,,,,,,,,,,,,,,,0,,,,,,,,,,0,0,0,0,0,0,,,,,,,,,,,,0,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2010-2011
19,Alum Rock Union Elementary (Santa Clara),,,,,No,43-69369-0000000,San Jose,Elementary School District,Santa Clara,95127,,21.5,132.0,7.0,54.0,0.0,0.0,0.0,0.0,0.0,84619.0,72497.0,46567.0,66851.0,182.0,674.0,606.3,180.0,,,,,,,,,4509.0,1175.0,1732.0,344.0,1135,5145.0,935.0,2064,576.0,8850.0,108912871.0,0,6,894.0,0.0,4,0,8915.0,8720.0,106529571.0,10,521.0,6112.0,0,0,6,69,564.0,9,784.0,12217,6651,50.9,13060,24,35.0,1493.0,230.0,661.0,10196.0,115.0,22.0,2.0,306.0,0.3,11.4,1.8,5.1,78.1,0.9,0.2,0.0,2.3,2991,22.9,,10705,82,,,,,725,9.4,,,,,,,,,,,,,,,,,0,,,,,,,,,,0,0,0,0,0,0,,,,,,,,,,,,0,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2010-2011
20,Alview-Dairyland Union Elementary (Madera),,,,,No,20-65177-0000000,Chowchilla,Elementary School District,Madera,93610,,20.3,0.0,7.0,3.0,-1.1,0.0,0.0,13500.0,0.0,60311.0,47783.0,31555.0,45625.0,182.0,18.0,17.3,180.0,,,,,,,,,3007.0,1557.0,1642.0,615.0,980,5067.0,992.0,1818,381.0,7726.0,2665955.0,0,13,578.0,0.0,0,0,7859.0,8258.0,2801469.0,7,992.0,4614.0,0,0,11,59,837.0,11,837.0,339,166,47.2,352,33,0.0,3.0,0.0,0.0,218.0,0.0,0.0,0.0,131.0,0.0,0.9,0.0,0.0,61.9,0.0,0.0,0.0,37.2,35,9.9,,245,69.6,,,,,11,7,,,,,,,,,,,,,,,,,0,,,,,,,,,,0,0,0,0,0,0,,,,,,,,,,,,0,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2010-2011
21,Alvina Elementary (Fresno),,,,,No,10-61994-0000000,Caruthers,Elementary School District,Fresno,93609,,21.2,1.0,12.0,0.0,0.0,8000.0,0.0,0.0,0.0,56810.0,37701.0,27900.0,39974.0,183.0,11.0,10.0,180.0,,,,,,,,,2739.0,1626.0,1298.0,326.0,1415,5283.0,950.0,1586,233.0,7371.0,1518363.0,0,4,1334.0,22.0,0,0,7467.0,8052.0,1637267.0,18,329.0,4137.0,0,0,8,55,568.0,14,1011.0,203,Not Certified,Not Certified,212,32,5.0,2.0,1.0,0.0,140.0,0.0,1.0,0.0,63.0,2.4,0.9,0.5,0.0,66.0,0.0,0.5,0.0,29.7,0,0,,157,74.1,,,,,9,26.5,,,,,,,,,,,,,,,,,0,,,,,,,,,,0,0,0,0,0,0,,,,,,,,,,,,0,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2010-2011
