,District Name,Expulsions (District),Suspensions (District),Suspensions (In School) (District),Suspensions (Out of School) (District),All Charter Schools (Y/N) (District),CDS Number (District),City (District),District Type (District),County Name (District),Zip (District),Grade Span (District),2nd Year Teachers (District),Avg Years Teaching (District),Per Pupil Ratio: Teacher (District),Salary Change (District),TchrBnft-Max Annual-2Party Plan $ Pd (District),TchrBnft-Max Annual-Cafe Plan $ Pd (District),TchrBnft-Max Annual-Family Pln $ Pd (District),TchrBnft-Max Annual-Single Plan $ Pd (District),Teacher BA60 Step-10 Offered (District),Teacher Highest Salary Offered (District),Teacher Lowest Salary Offered (District),Teacher Salary-Avg (District),Teacher Service Days (District),Teachers-# (District),Teachers-FTE (District),Teaching Days (District),1st Year Teachers (District),Students w/Disabilities (CAASPP-Math Levels 3 and 4) (District),Students w/Disabilities (CAASPP-ELA Levels 3 and 4) (District),Migrant Students (CAASPP-Math Levels 3 and 4) (District),Migrant Students (CAASPP-ELA Levels 3 and 4) (District),English Learners (CAASPP-Math Levels 3 and 4) (District),English Learners (CAASPP-ELA Levels 3 and 4) (District),Disadvantaged Students (CAASPP-Math Levels 3 and 4) (District),Disadvantaged Students (CAASPP-ELA Levels 3 and 4) (District),Gen Fund Exp by Object Code - 1000-1999 Certificated Salaries Per Student (District),Gen Fund Exp by Object Code - 2000-2999 Classified Salaries Per Student (District),Gen Fund Exp by Object Code - 3000-3999 Employee Benefits Per Student (District),Gen Fund Exp by Object Code - 4000-4999 Books & Supplies Per Student (District),Gen Fund Exp by Object Code - 5000-5999 Services & Other Op Exp Per Student (District),Gen Fund Rev by Object Code - 8010-8099 Rev Limit Sources/LCFF Per Student (District),Gen Fund Rev by Object Code - 8100-8299 Federal Revenue Per Student (District),Gen Fund Rev by Object Code - 8300-8599 Other State Revenue Per Student (District),Gen Fund Rev by Object Code - 8600-8799 Other Local Revenue Per Student (District),Current Exp of Educ per ADA (Ed Code 41372) (District),Total Gen Fund Expenditures (District),Gen Fund Exp by Activity - 4000-4999 Ancillary Services Exp % (District),Gen Fund Exp by Activity - 3000-3999 Pupil Services Exp % (District),Gen Fund Exp by Activity - 2000-2999 Instruc-related Svcs Per Student # (District),Gen Fund Exp by Activity - 4000-4999 Ancillary Services Per Student # (District),Gen Fund Exp by Activity - 5000-5999 Community Services Per Student # (District),Gen Fund Exp by Activity - 6000-6999 Enterprise Exp % (District),Total Gen Fund Expenditures Per Student (District),Total Gen Fund Revenues Per Student (District),Total Gen Fund Revenues (District),Gen Fund Exp by Activity - 2000-2999 Instruc-related Svcs Exp % (District),Gen Fund Exp by Activity - 3000-3999 Pupil Services Per Student # (District),Gen Fund Exp by Activity - 1000-1999 Instruction Per Student # (District),Gen Fund Exp by Activity - 6000-6999 Enterprise Per Student # (District),Gen Fund Exp by Activity - 5000-5999 Community Services Exp % (District),Gen Fund Exp by Activity - 7000-7999 General Administration Exp % (District),Gen Fund Exp by Activity - 1000-1999 Instruction Exp % (District),Gen Fund Exp by Activity - 7000-7999 General Administration Per Student # (District),Gen Fund Exp by Activity - 8000-8999 Plant Services Exp % (District),Gen Fund Exp by Activity - 8000-8999 Plant Services Per Student # (District),Average Daily Attendance (ADA) (District),English Learners # (District),English Learners % (District),Enrollment (District),Ethnic Diversity Index (District),American Indian or Alaska Native # (District),Asian # (District),Black or African American # (District),Filipino # (District),Hispanic or Latino # (District),Native Hawaiian or Pac Islander # (District),Two or More Races # (District),None Reported # (District),White # (District),American Indian or Alaska Native % (District),Asian % (District),Black or African American % (District),Filipino % (District),Hispanic or Latino % (District),Native Hawaiian or Pac Islander % (District),Two or More Races % (District),None Reported % (District),White % (District),Fluent English Proficient (FEP) # (District),Fluent English Proficient (FEP) % (District),Foster Youth # (District),Free/Reduced Meals # (District),Free/Reduced Meals % (District),FRPM/EL/Foster Undupl # (District),FRPM/EL/Foster Undupl % (District),Homeless # (District),Migrant # (District),Redesignated FEP (RFEP) # (District),Redesignated FEP (RFEP) % (District),Special Education # (District),Cohort Graduates % (District),Grads Mtg UC/CSU # (District),Black or African American # (UC/CSU) (District),American Indian or Alaska Native # (UC/CSU) (District),Asian # (UC/CSU) (District),Filipino # (UC/CSU) (District),Hispanic or Latino # (UC/CSU) (District),Native Hawaiian or Pacific Islander # (UC/CSU) (District),White # (UC/CSU) (District),Two or More Races # (UC/CSU) (District),None Reported # (UC/CSU) (District),ACT Avg Results-English # (District),ACT Avg Results-Math # (District),ACT Avg Results-Reading # (District),ACT Avg Results-Science # (District),ACT Test Takers # (District),American Indian or Alaska Native # (Cohort Grads) (District),Asian # (Cohort Grads) (District),Native Hawaiian or Pac Islander # (Cohort Grads) (District),Filipino # (Cohort Grads) (District),Hispanic or Latino # (Cohort Grads) (District),Black or African American # (Cohort Grads) (District),White # (Cohort Grads) (District),Two or More Races # (Cohort Grads) (District),None Reported # (Cohort Grads) (District),Advanced Placement (AP) Test Taking # (District),AP Score-1 (District),AP Score-2 (District),AP Score-3 (District),AP Score-4 (District),AP Score-5 (District),Cohort Dropouts # (District),Cohort Dropouts % (District),American Indian or Alaska Native # (Cohort Dropouts) (District),Asian # (Cohort Dropouts) (District),Native Hawaiian or Pac Islander # (Cohort Dropouts) (District),Filipino # (Cohort Dropouts) (District),Hispanic or Latino # (Cohort Dropouts) (District),Black or African American # (Cohort Dropouts) (District),White # (Cohort Dropouts) (District),Two or More Races # (Cohort Dropouts) (District),None Reported # (Cohort Dropouts) (District),SAT Test Takers # (District),Cohort Graduates # (District),Grads Mtg UC/CSU % (District),SAT Avg Results-Mathematics # (District),SAT Avg Results-Reading # (District),SAT Avg Results-Writing # (District),CAASPP-Math Standard Exceeded (Level 4) (District),CAASPP-Math Standard Met (Level 3) (District),CAASPP-Math Standard Nearly Met (Level 2) (District),CAASPP-Math Standard Not Met (Level 1) (District),CAASPP-Math Standard Exceeded or Met (Levels 3 and 4) (District),American Indian or Alaska Native (CAASPP-Math Levels 3 and 4) (District),Asian (CAASPP-Math Levels 3 and 4) (District),Black or African American (CAASPP-Math Levels 3 and 4) (District),Filipino (CAASPP-Math Levels 3 and 4) (District),Hispanic or Latino (CAASPP-Math Levels 3 and 4) (District),Native Hawaiian or Pac Islandr (CAASPP-Math Levels 3 and 4) (District),Two or More Races (CAASPP-Math Levels 3 and 4) (District),White (CAASPP-Math Levels 3 and 4) (District),Males (CAASPP-Math Levels 3 and 4) (District),Females (CAASPP-Math Levels 3 and 4) (District),CAASPP-ELA Standard Exceeded or Met (Levels 3 and 4) (District),CAASPP-ELA Standard Exceeded (Level 4) (District),CAASPP-ELA Standard Met (Level 3) (District),CAASPP-ELA Standard Nearly Met (Level 2) (District),CAASPP-ELA Standard Not Met (Level 1) (District),American Indian or Alaska Native (CAASPP-ELA Levels 3 and 4) (District),Asian (CAASPP-ELA Levels 3 and 4) (District),Black or African American (CAASPP-ELA Levels 3 and 4) (District),Filipino (CAASPP-ELA Levels 3 and 4) (District),Hispanic or Latino (CAASPP-ELA Levels 3 and 4) (District),Native Hawaiian or Pac Islandr (CAASPP-ELA Levels 3 and 4) (District),Two or More Races (CAASPP-ELA Levels 3 and 4) (District),White (CAASPP-ELA Levels 3 and 4) (District),Males (CAASPP-ELA Levels 3 and 4) (District),Females (CAASPP-ELA Levels 3 and 4) (District),Year
0,ABC Unified (Los Angeles),,660,110,550,No,19-64212-0000000,Cerritos,Unified School District,Los Angeles,90703,K-Adult,34.0,14.0,24.0,3.0,16188.0,0.0,18822.0,8658.0,72328.0,98215.0,49269.0,78191.0,184.0,887.0,873.1,180.0,33.0,13,17,26,37,25,28,31,42,4429.0,1538.0,1804.0,495.0,806.0,7505.0,566,1054,277,8925.0,188646815.0,0.0,7.0,1082.0,0.0,0,0.0,9252.0,9402.0,191711341.0,12.0,660.0,5809.0,0,0.0,5.0,63.0,484.0,11.0,1046.0,20390.0,4490.0,21.4,20998.0,57.0,65.0,5172.0,1846.0,2410.0,9428.0,164.0,409.0,54.0,1450.0,0.3,24.6,8.8,11.5,44.9,0.8,2.0,0.3,6.9,4677.0,22.3,106.0,10266.0,48.9,11524.0,55.5,,,625.0,13.6,,94.4,688.0,52.0,0.0,334.0,95.0,152.0,2.0,41.0,12.0,0.0,,,,,,redacted,479,11,192,625,145,112,27,,1716.0,329,607,906,804,686,29,1.7,redacted,redacted,redacted,redacted,24,redacted,redacted,redacted,,885.0,1594,41.8,566,528,534,26,22,26,26,48,41,79,33,66,29,29,58,48,47,48,59,27,32,22,19,45,83,46,77,42,46,69,62,52,65,2014-2015
1,Acalanes Union High (Contra Costa),,111,2,109,No,07-61630-0000000,Lafayette,High School District,Contra Costa,94549,09-12,4.0,12.0,20.2,1.5,19559.0,0.0,24907.0,10647.0,74048.0,94793.0,42224.0,83506.0,186.0,287.0,267.6,180.0,3.0,13,37,,,35,22,45,66,5574.0,1673.0,2684.0,393.0,1791.0,7961.0,218,436,3346,11672.0,62901898.0,2.0,11.0,1401.0,237.0,25,0.0,12184.0,11961.0,61754609.0,12.0,1280.0,6983.0,2,0.0,7.0,57.0,820.0,12.0,1437.0,5163.0,117.0,2.2,5402.0,35.0,9.0,688.0,81.0,106.0,461.0,17.0,334.0,42.0,3664.0,0.2,12.7,1.5,2.0,8.5,0.3,6.2,0.8,67.8,643.0,11.9,0.0,244.0,4.5,303.0,5.9,,,6.0,5.3,,97.0,909.0,8.0,1.0,136.0,15.0,71.0,2.0,616.0,56.0,4.0,,,,,,redacted,166,redacted,22,112,14,821,70,redacted,1724.0,68,266,714,1065,1123,13,1.0,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,961.0,1212,74.9,601,594,598,40,30,19,11,70,redacted,87,50,60,44,redacted,84,70,71,69,85,51,34,10,4,redacted,92,91,96,72,redacted,92,85,81,91,2014-2015
2,Ackerman Charter (Placer),,redacted,redacted,0,Yes,31-66761-0000000,Auburn,Elementary School District,Placer,95603,K-08,0.0,10.0,19.0,3.0,7474.0,0.0,7474.0,7474.0,59358.0,77948.0,44361.0,62477.0,182.0,30.0,29.2,180.0,1.0,14,32,,,redacted,redacted,24,44,4162.0,1078.0,1400.0,531.0,613.0,6915.0,198,523,424,7738.0,4341997.0,0.0,6.0,771.0,38.0,9,0.0,8224.0,8060.0,4255286.0,9.0,526.0,5060.0,0,0.0,7.0,62.0,601.0,11.0,932.0,528.0,16.0,2.9,556.0,22.0,2.0,8.0,2.0,4.0,67.0,0.0,26.0,5.0,442.0,0.4,1.4,0.4,0.7,12.1,0.0,4.7,0.9,79.5,9.0,1.6,0.0,150.0,27.0,153.0,27.5,,,1.0,11.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,33,33,16,51,redacted,redacted,redacted,redacted,19,,redacted,54,52,50,59,20,39,24,17,redacted,redacted,redacted,redacted,44,,redacted,61,54,64,2014-2015
3,Acton-Agua Dulce Unified (Los Angeles),redacted,65,9,56,No,19-75309-0000000,Acton,Unified School District,Los Angeles,93510,K-12,16.0,3.0,16.8,,,,,,,,,,,246.0,240.5,,40.0,11,19,,,14,14,20,33,4867.0,1742.0,1463.0,547.0,1949.0,8965.0,610,451,2784,10336.0,11531848.0,1.0,10.0,1190.0,112.0,0,0.0,11101.0,12810.0,13307700.0,11.0,1140.0,5241.0,0,0.0,15.0,47.0,1624.0,11.0,1261.0,1039.0,275.0,6.8,4043.0,51.0,33.0,179.0,358.0,97.0,1382.0,20.0,92.0,108.0,1774.0,0.8,4.4,8.9,2.4,34.2,0.5,2.3,2.7,43.9,371.0,9.2,26.0,1643.0,40.6,494.0,45.5,,,9.0,5.7,,94.4,31.0,1.0,0.0,3.0,0.0,9.0,0.0,17.0,1.0,0.0,,,,,,redacted,redacted,,,23,redacted,56,redacted,redacted,65.0,15,29,27,13,2,redacted,4.4,redacted,redacted,,,redacted,redacted,redacted,redacted,redacted,40.0,85,16.5,478,514,496,11,18,30,41,29,redacted,redacted,redacted,redacted,16,redacted,57,36,30,29,43,14,29,29,28,redacted,redacted,redacted,redacted,32,redacted,57,48,33,53,2014-2015
4,Adelanto Elementary (San Bernardino),,1365,228,1137,No,36-67587-0000000,Adelanto,Elementary School District,San Bernardino,92301,K-12,19.0,7.0,25.0,8.0,0.0,10200.0,0.0,0.0,67545.0,100911.0,42537.0,67984.0,185.0,427.0,414.7,180.0,70.0,3,5,,,5,9,9,18,3894.0,1403.0,1910.0,550.0,1411.0,7434.0,477,639,414,9072.0,72565995.0,0.0,10.0,883.0,0.0,11,0.0,9255.0,8964.0,70285326.0,10.0,949.0,5548.0,0,0.0,7.0,60.0,667.0,12.0,1099.0,7841.0,2021.0,19.5,10378.0,41.0,63.0,116.0,2341.0,62.0,6173.0,73.0,250.0,175.0,1125.0,0.6,1.1,22.6,0.6,59.5,0.7,2.4,1.7,10.8,815.0,7.9,177.0,9089.0,87.6,7352.0,89.1,,,83.0,4.4,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,2.0,,0.0,redacted,redacted,redacted,2,8,26,64,11,11,31,5,45,11,7,8,19,10,11,20,4,16,27,53,21,41,12,71,21,19,22,29,16,24,2014-2015
5,Alameda County Office of Education (Alameda),redacted,481,240,241,No,01-10017-0000000,Hayward,County Office of Education (COE),Alameda,94544,P-12,22.0,5.0,18.9,3.5,0.0,3600.0,0.0,0.0,84245.0,109181.0,58148.0,98977.0,185.0,215.0,208.1,180.0,27.0,0,0,,,0,0,0,2,,,,,,,,,,,39153720.0,1.0,4.0,,,,0.0,,,39792551.0,36.0,,,,3.0,35.0,19.0,,2.0,,,1154.0,29.4,3931.0,60.0,64.0,444.0,737.0,45.0,1660.0,57.0,173.0,27.0,724.0,1.6,11.3,18.8,1.1,42.2,1.5,4.4,0.7,18.4,797.0,20.3,35.0,2590.0,65.7,415.0,,,,209.0,18.4,,85.0,129.0,42.0,3.0,4.0,3.0,68.0,2.0,4.0,3.0,0.0,,,,,,49,3465,195,917,4195,1602,3337,452,20,129.0,138,6,8,6,3,1614,9.6,18,144,33,35,722,403,211,38,redacted,88.0,14232,38.7,418,418,417,0,1,3,96,1,redacted,redacted,0,redacted,0,redacted,redacted,redacted,2,0,3,1,1,9,89,redacted,redacted,0,redacted,0,redacted,redacted,redacted,4,0,2014-2015
6,Alameda Unified (Alameda),redacted,519,46,473,No,01-61119-0000000,Alameda,Unified School District,Alameda,94501,K-Adult,26.0,9.0,20.0,0.5,6886.0,0.0,8007.0,5413.0,63339.0,83930.0,44015.0,67845.0,185.0,576.0,549.8,180.0,42.0,18,18,,,32,33,35,40,5025.0,1686.0,1782.0,341.0,1508.0,7264.0,430,749,2312,10197.0,95700461.0,1.0,6.0,1155.0,145.0,12,0.0,10550.0,10755.0,97560222.0,11.0,640.0,6495.0,0,0.0,8.0,62.0,838.0,11.0,1199.0,9071.0,2019.0,18.3,11020.0,69.0,36.0,2981.0,1067.0,807.0,1876.0,94.0,908.0,13.0,3238.0,0.3,27.1,9.7,7.3,17.0,0.9,8.2,0.1,29.4,1821.0,16.5,20.0,3391.0,30.8,3690.0,39.5,,,210.0,9.9,,89.8,427.0,23.0,0.0,203.0,31.0,46.0,2.0,106.0,15.0,1.0,,,,,,,272,redacted,59,132,63,176,34,,765.0,223,323,453,334,264,44,5.3,,11,redacted,redacted,11,11,redacted,redacted,,544.0,742,51.2,546,521,519,28,27,25,20,55,21,68,21,51,34,39,60,63,55,55,63,30,33,20,17,57,72,35,61,46,42,66,72,58,69,2014-2015
7,Albany City Unified (Alameda),redacted,75,0,75,No,01-61127-0000000,Albany,Unified School District,Alameda,94706,K-Adult,15.0,8.0,18.4,3.0,23771.0,0.0,30942.0,12107.0,66741.0,89964.0,45825.0,69286.0,184.0,224.0,210.6,180.0,15.0,37,39,,,51,44,49,55,5288.0,1380.0,2869.0,442.0,954.0,7069.0,293,1175,2055,10529.0,40771969.0,1.0,4.0,1352.0,127.0,94,0.0,10880.0,10592.0,39693293.0,12.0,415.0,7098.0,0,1.0,8.0,65.0,880.0,8.0,915.0,3747.0,710.0,18.3,3881.0,60.0,6.0,1113.0,139.0,55.0,652.0,10.0,479.0,2.0,1425.0,0.2,28.7,3.6,1.4,16.8,0.3,12.3,0.1,36.7,629.0,16.2,0.0,831.0,21.4,1271.0,33.4,,,59.0,7.6,,93.5,158.0,4.0,0.0,69.0,3.0,20.0,0.0,51.0,11.0,0.0,,,,,,,87,redacted,redacted,51,13,84,29,,309.0,42,72,125,204,188,16,5.5,,redacted,redacted,redacted,redacted,redacted,redacted,redacted,,178.0,271,58.7,599,572,574,40,29,21,10,68,redacted,76,42,64,47,redacted,71,75,68,69,72,36,36,18,10,redacted,74,56,68,58,redacted,72,79,68,76,2014-2015
8,Alexander Valley Union Elementary (Sonoma),,,,,No,49-70599-0000000,Healdsburg,Elementary School District,Sonoma,95448,K-06,2.0,5.0,14.9,,,,,,,,,,,8.0,8.0,,0.0,18,18,redacted,redacted,41,41,38,42,6243.0,2712.0,2842.0,685.0,4023.0,14334.0,563,755,1571,16354.0,1891196.0,0.0,12.0,2047.0,0.0,183,0.0,16505.0,17223.0,1973355.0,12.0,2033.0,9742.0,0,1.0,8.0,59.0,1371.0,7.0,1129.0,115.0,24.0,20.2,119.0,33.0,0.0,0.0,0.0,0.0,40.0,0.0,3.0,0.0,76.0,0.0,0.0,0.0,0.0,33.6,0.0,2.5,0.0,63.9,3.0,2.5,0.0,36.0,30.3,40.0,34.3,,,2.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,37,24,10,66,,,,,54,,redacted,74,58,74,62,18,44,21,18,,,,,50,,redacted,69,48,74,2014-2015
9,Alhambra Unified (Los Angeles),14,76,0,76,No,19-75713-0000000,Alhambra,Unified School District,Los Angeles,91803,K-12,40.0,15.0,23.9,1.1,0.0,0.0,0.0,0.0,69575.0,101773.0,37070.0,73025.0,184.0,741.0,737.4,181.0,21.0,9,9,29,42,35,29,45,53,4474.0,1423.0,2871.0,359.0,1096.0,8134.0,636,729,1216,9353.0,178930183.0,1.0,10.0,1257.0,66.0,60,0.0,10506.0,10716.0,182507569.0,12.0,1052.0,6079.0,0,1.0,6.0,58.0,582.0,11.0,1196.0,17032.0,4874.0,27.7,17617.0,40.0,40.0,8872.0,119.0,329.0,7453.0,15.0,364.0,78.0,347.0,0.2,50.4,0.7,1.9,42.3,0.1,2.1,0.4,2.0,5352.0,30.4,131.0,11955.0,67.9,12856.0,72.9,,,538.0,10.8,,94.1,973.0,6.0,2.0,726.0,20.0,193.0,0.0,8.0,18.0,0.0,,,,,,redacted,1071,,27,655,redacted,28,28,,1822.0,400,604,746,659,735,50,2.6,redacted,17,,redacted,31,redacted,redacted,redacted,,1166.0,1820,52.4,554,494,492,27,23,26,24,50,18,70,38,58,26,redacted,66,40,49,51,58,27,32,21,21,29,71,47,71,43,redacted,70,58,52,65,2014-2015
10,Alisal Union (Monterey),,146,14,132,No,27-65961-0000000,Salinas,Elementary School District,Monterey,93905,K-08,37.0,9.0,27.0,3.0,13300.0,0.0,17200.0,9000.0,65108.0,89719.0,40042.0,65397.0,183.0,339.0,339.0,180.0,69.0,6,7,9,12,5,6,12,17,3816.0,1181.0,1917.0,663.0,1073.0,7591.0,796,441,537,8466.0,78671216.0,0.0,4.0,1205.0,0.0,70,0.0,9154.0,9365.0,80487151.0,13.0,398.0,5828.0,0,1.0,4.0,64.0,407.0,9.0,798.0,8594.0,6863.0,75.0,9153.0,5.0,5.0,63.0,35.0,81.0,8323.0,19.0,21.0,444.0,162.0,0.1,0.7,0.4,0.9,90.9,0.2,0.2,4.9,1.8,783.0,8.6,19.0,7744.0,84.6,8127.0,91.1,,,339.0,5.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,11,31,56,13,,43,20,40,12,14,33,44,13,13,20,4,16,26,55,,39,27,59,19,43,50,39,17,23,2014-2015
11,Allensworth Elementary (Tulare),,redacted,0,redacted,No,54-71795-0000000,Allensworth,Elementary School District,Tulare,93219,K-08,0.0,4.0,16.8,4.0,0.0,0.0,13320.0,0.0,51547.0,65978.0,35191.0,45727.0,182.0,5.0,5.0,180.0,4.0,,,9,9,0,5,8,10,4426.0,2440.0,2828.0,1704.0,2126.0,10129.0,1044,274,81,13482.0,1053296.0,0.0,5.0,2095.0,41.0,0,0.0,13747.0,11527.0,883206.0,15.0,679.0,7627.0,0,0.0,10.0,55.0,1321.0,13.0,1760.0,77.0,61.0,72.6,84.0,0.0,0.0,0.0,0.0,0.0,84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,7.0,8.3,0.0,83.0,98.8,84.0,100.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,8,27,65,8,,,,,8,,redacted,,9,5,9,0,9,28,63,,,,,9,,redacted,,9,9,2014-2015
12,Alpaugh Unified (Tulare),,73,3,70,No,54-71803-0000000,Alpaugh,Unified School District,Tulare,93201,K-12,18.0,3.0,21.5,3.0,0.0,0.0,14323.0,0.0,56664.0,73349.0,41661.0,51665.0,185.0,114.0,29.3,180.0,15.0,redacted,redacted,redacted,redacted,3,8,6,15,4729.0,1779.0,2641.0,604.0,2249.0,10211.0,665,278,547,11950.0,3754124.0,1.0,3.0,1274.0,145.0,0,0.0,12277.0,11700.0,3577733.0,10.0,342.0,7108.0,0,0.0,13.0,58.0,1610.0,14.0,1715.0,306.0,221.0,35.1,629.0,33.0,0.0,12.0,7.0,1.0,422.0,0.0,26.0,0.0,161.0,0.0,1.9,1.1,0.2,67.1,0.0,4.1,0.0,25.6,82.0,13.0,0.0,460.0,73.1,307.0,96.9,,,5.0,2.5,,55.0,7.0,0.0,0.0,0.0,0.0,6.0,0.0,1.0,0.0,0.0,,,,,,,,,,redacted,,redacted,,,8.0,redacted,redacted,redacted,redacted,redacted,redacted,40.0,,,,,redacted,,redacted,,,9.0,11,20.6,redacted,redacted,redacted,1,6,33,61,6,,redacted,,,6,,redacted,redacted,4,8,15,5,10,21,63,,redacted,,,16,,redacted,redacted,9,21,2014-2015
13,Alpine County Office of Education (Alpine),,,,,No,02-10025-0000000,Markleeville,County Office of Education (COE),Alpine,96120,01-12,0.0,16.0,12.0,,,,,,,,,,,1.0,0.5,,0.0,,,,,,,redacted,redacted,,,,,,,,,,,1008170.0,0.0,15.0,,,,0.0,,,955759.0,0.0,,,,3.0,8.0,28.0,,6.0,,,,,6.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,,,,0.0,0.0,,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,redacted,,,,,,,,,,,,,,,redacted,50.0,redacted,,,,,,,,,,redacted,0.0,,,,redacted,redacted,redacted,redacted,redacted,redacted,,,,,,,redacted,,redacted,redacted,redacted,redacted,redacted,redacted,redacted,,,,,,,redacted,,redacted,2014-2015
14,Alpine County Unified (Alpine),,,,,No,02-61333-0000000,Markleeville,Unified School District,Alpine,96120,K-12,0.0,10.0,8.7,4.0,11471.0,11471.0,11471.0,11471.0,55533.0,72543.0,43800.0,61038.0,183.0,10.0,9.5,180.0,1.0,21,29,,,,,40,43,10747.0,7746.0,6107.0,2403.0,5906.0,22883.0,6629,2750,3698,32790.0,2661137.0,0.0,10.0,5813.0,0.0,0,0.0,32833.0,35961.0,2914606.0,18.0,3231.0,13985.0,0,0.0,21.0,43.0,6763.0,9.0,3041.0,81.0,,,83.0,43.0,34.0,0.0,0.0,0.0,6.0,0.0,3.0,0.0,40.0,41.0,0.0,0.0,0.0,7.2,0.0,3.6,0.0,48.2,0.0,0.0,0.0,53.0,63.9,53.0,64.2,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,36,32,22,46,32,,,,redacted,,redacted,56,43,50,58,8,50,14,28,37,,,,redacted,,redacted,72,50,68,2014-2015
15,Alpine Union Elementary (San Diego),,12,0,12,No,37-67967-0000000,Alpine,Elementary School District,San Diego,91901,P-08,0.0,13.0,22.5,2.5,9500.0,0.0,9500.0,9500.0,57697.0,83149.0,37521.0,68941.0,178.0,83.0,82.0,175.0,9.0,12,10,,,15,21,22,28,4173.0,1548.0,1740.0,383.0,897.0,7147.0,437,545,912,8692.0,14954770.0,0.0,7.0,623.0,0.0,161,0.0,9066.0,9040.0,14911606.0,7.0,643.0,5823.0,0,2.0,8.0,64.0,700.0,9.0,787.0,1649.0,96.0,5.2,1845.0,33.0,91.0,21.0,41.0,20.0,355.0,11.0,31.0,5.0,1270.0,4.9,1.1,2.2,1.1,19.2,0.6,1.7,0.3,68.8,32.0,1.7,12.0,576.0,31.2,551.0,32.6,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,25,34,30,37,20,63,10,38,28,redacted,redacted,40,37,35,39,12,28,30,31,28,50,20,38,31,redacted,redacted,43,35,44,2014-2015
16,Alta Loma Elementary (San Bernardino),,163,64,99,No,36-67595-0000000,Alta Loma,Elementary School District,San Bernardino,91701,K-08,8.0,12.0,25.7,3.5,15559.0,0.0,15559.0,15559.0,68141.0,87804.0,37961.0,72284.0,185.0,231.0,230.4,180.0,15.0,14,17,,,24,27,30,41,3755.0,1236.0,2201.0,449.0,789.0,6900.0,258,581,929,8199.0,48378276.0,0.0,5.0,807.0,0.0,222,0.0,8489.0,8668.0,49398582.0,10.0,405.0,5668.0,0,3.0,6.0,67.0,480.0,10.0,856.0,5699.0,366.0,6.2,5917.0,49.0,36.0,358.0,426.0,79.0,2551.0,37.0,64.0,10.0,2356.0,0.6,6.1,7.2,1.3,43.1,0.6,1.1,0.2,39.8,375.0,6.3,18.0,2007.0,33.9,2161.0,36.8,,,39.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,26,30,24,46,44,72,31,66,37,57,49,53,47,45,58,22,37,24,17,52,77,40,79,52,71,61,64,53,64,2014-2015
17,Alta Vista Elementary (Tulare),,47,0,47,No,54-71811-0000000,Porterville,Elementary School District,Tulare,93257,K-08,2.0,9.0,20.5,7.0,0.0,0.0,16073.0,0.0,66183.0,87620.0,42997.0,66868.0,184.0,28.0,28.0,180.0,8.0,0,0,,,3,5,4,7,4071.0,1376.0,2248.0,445.0,1002.0,7963.0,668,277,57,9059.0,5083833.0,0.0,3.0,1036.0,31.0,0,0.0,9156.0,8966.0,4978777.0,11.0,280.0,6156.0,0,0.0,9.0,67.0,814.0,9.0,784.0,555.0,340.0,59.3,573.0,24.0,6.0,15.0,0.0,0.0,449.0,19.0,2.0,0.0,82.0,1.1,2.6,0.0,0.0,78.4,3.3,0.4,0.0,14.3,42.0,7.3,0.0,525.0,91.6,552.0,96.4,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,20,76,4,redacted,8,,,4,0,redacted,5,5,3,6,1,5,22,72,redacted,8,,,6,21,redacted,5,6,7,2014-2015
